Internet 
2.779
3.525
5.706
10.796
14.501
28.577
31.528
41.52
45.32
53.2
61.45
63.51
66.19
70.58
72.5
74.1
76.5
78.39
80.004
84.242
88.41
87.24
88.103
89.357
89.532
