Gini
0.55
0.52
0.52
0.53
0.54
0.54
0.54
0.55
0.57
0.54
0.56
0.53
0.50
0.48
0.47
0.49
0.50
0.50
0.51
0.49
0.47
0.46
0.45
0.46
0.46
